;date;inv_mr_1;inv_mr_2;inv_mr_3;backorder_mr;inv_ws;backorder_ws;customer_name;received_quantity
0;0;0;0;0;0;0;0;0;0
1;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0
4;0;0;0;0;0;0;0;0;0
5;2;0;0;0;0;0;1;0;0
6;2;0;0;0;1;0;1;0;0
7;4;0;0;0;1;0;2;0;0
8;4;0;0;0;2;0;2;0;0
9;6;0;0;0;2;0;3;0;0
10;6;0;0;0;3;0;3;0;0
11;9;0;0;0;3;0;4;0;0
12;9;0;0;0;4;0;4;0;0
13;9,6;5,2;0;0;4;0;4;0;0
14;10,9;5,2;7,8;0;4;0;4;0;0
15;11,1;9,4;7,8;0;4;0;4;0;0
16;12;9,4;7,8;0;4;0;5;0;0
17;12;9,4;7,8;0;5;0;5;0;0
18;12,15;9,4;14,1;0;5;0;5;0;0
19;13,5;9,4;14,1;13;5;0;5;0;0
20;13,5;9,4;14,1;13;4;0;5;0;0
21;13,5;4,2;14,1;13;4;0;5;0;0
22;13,5;4,2;6,3;13;4;0;5;0;0
23;13,5;4,2;6,3;13;4;0;5;0;0
24;13,9;10;6,3;13;4;0;5;0;0
25;14,25;10;6,3;10,5;4;0;5;0;0
26;14,25;10;6,3;10,5;3;0;5;0;0
27;14,25;5,8;6,3;10,5;3;0;5;0;0
28;14,25;5,8;6,3;10,5;3;0;5;0;0
29;14,25;5,8;6,3;10,5;3;0;5;0;0
30;15;5,8;6,3;10,5;3;0;6;0;0
31;15;5,8;6,3;10,5;4;0;6;0;0
32;15,35;5,8;8,7;10,5;4;0;6;0;0
33;16;5,8;8,7;10,5;4;0;7;0;0
34;16;5,8;8,7;10,5;5;0;7;0;0
35;16,3;10,4;8,7;10,5;5;0;7;0;0
36;17,45;10,4;15,6;10,5;5;0;7;0;0
37;18,25;10,4;15,6;14,5;5;0;7;0;0
38;18,25;10,4;15,6;14,5;4;0;7;0;0
39;18,25;4,6;15,6;14,5;4;0;7;0;0
40;18,25;4,6;6,9;14,5;4;0;7;0;0
41;18,25;4,6;6,9;14,5;4;0;7;0;0
42;18,5;4,6;6,9;14,5;4;26;7;0;0
43;18,5;4,6;6,9;14,5;4;26;6;0;0
44;18,5;4,6;6,9;14,5;4;26;6;0;0
45;19;4,6;6,9;14,5;4;26;7;0;0
46;19;4,6;6,9;14,5;5;26;7;0;0
47;19,25;4,6;6,9;14,5;5;21;7;0;0
48;19,25;4,6;6,9;14,5;5;21;6;0;0
49;19,25;4,6;6,9;14,5;5;21;6;0;0
50;19,5;4,6;6,9;14,5;5;21;6;1;26
51;19,75;4,6;6,9;11,5;5;21;6;1;26
52;19,75;4,6;6,9;11,5;4;21;6;1;26
53;19,75;4,6;6,9;11,5;5;21;6;1;26
54;20,1;4,8;6,9;11,5;5;21;6;1;26
55;21,2;5,2;6,9;11,5;5;21;6;1;26
56;21,3;5,2;7,5;11,5;5;21;6;1;26
